Date,Price,Open,High,Low,Vol.,Change %
07/11/2024,"14,820","14,970","14,970","14,730",142.17K,-0.94%
07/14/2024,"15,130","15,050","15,130","14,960",54.77K,2.09%
07/15/2024,"15,240","15,140","15,240","14,930",104.28K,0.73%
07/16/2024,"15,080","15,180","15,300","15,080",134.44K,-1.05%
07/17/2024,"14,940","15,000","15,250","14,600",207.43K,-0.93%
07/18/2024,"14,660","15,080","15,080","14,660",141.09K,-1.87%
07/21/2024,"14,860","14,720","14,860","14,700",48.16K,1.36%
07/22/2024,"14,850","14,860","14,910","14,620",174.84K,-0.07%
07/23/2024,"14,930","14,850","14,930","14,730",181.39K,0.54%
07/24/2024,"14,610","14,840","14,910","13,820",352.29K,-2.14%
07/25/2024,"15,590","15,630","15,880","15,420",724.82K,6.71%
07/28/2024,"15,330","15,600","15,670","14,700",187.81K,-1.67%
07/29/2024,"15,830","15,520","15,930","15,480",259.98K,3.26%
07/30/2024,"15,630","15,690","15,830","15,540",207.10K,-1.26%
07/31/2024,"15,250","15,490","15,580","15,250",274.82K,-2.43%
08/01/2024,"15,280","15,260","15,450","15,170",440.78K,0.20%
08/04/2024,"14,360","14,470","14,540","14,340",96.03K,-6.02%
08/05/2024,"13,670","13,700","13,920","13,320",344.51K,-4.81%
08/06/2024,"14,290","14,030","14,360","13,840",365.59K,4.54%
08/07/2024,"14,470","14,320","14,500","14,290",194.78K,1.26%
08/08/2024,"14,310","14,100","14,310","14,000",232.99K,-1.11%
08/11/2024,"14,150","14,210","14,270","14,140",70.31K,-1.12%
08/12/2024,"14,080","14,150","14,260","14,040",189.83K,-0.49%
08/14/2024,"14,330","14,420","14,530","14,290",145.31K,1.78%
08/15/2024,"14,890","14,350","14,890","14,350",123.82K,3.91%
08/18/2024,"14,640","14,890","14,890","14,640",61.15K,-1.68%
08/19/2024,"14,810","14,620","14,810","14,560",106.28K,1.16%
08/20/2024,"14,750","14,940","15,000","14,750",116.84K,-0.41%
08/21/2024,"15,170","15,160","15,250","15,010",227.09K,2.85%
08/22/2024,"15,230","15,130","15,320","15,070",134.22K,0.40%
08/25/2024,"15,390","15,270","15,470","15,270",70.48K,1.05%
08/26/2024,"15,200","15,350","15,450","15,150",138.66K,-1.23%
08/27/2024,"15,350","15,450","15,570","15,280",133.70K,0.99%
08/28/2024,"15,890","15,630","16,040","15,630",136.05K,3.52%
08/29/2024,"15,940","15,740","15,970","15,670",492.27K,0.31%
09/01/2024,"15,980","16,100","16,160","15,830",57.62K,0.25%
09/02/2024,"16,030","15,970","16,060","15,920",41.58K,0.31%
09/03/2024,"15,800","16,090","16,160","15,700",133.65K,-1.43%
09/04/2024,"15,070","15,300","15,300","15,050",184.98K,-4.62%
09/05/2024,"15,270","15,190","15,340","15,100",217.94K,1.33%
09/08/2024,"15,110","15,140","15,270","15,110",72.15K,-1.05%
09/09/2024,"15,350","15,510","15,510","15,120",228.68K,1.59%
09/10/2024,"15,190","15,350","15,610","15,190",117.58K,-1.04%
09/11/2024,"15,600","15,280","15,630","15,280",141.19K,2.70%
09/12/2024,"15,710","16,090","16,090","15,530",129.21K,0.71%
09/15/2024,"15,780","15,950","15,950","15,750",46.50K,0.45%
09/16/2024,"15,740","15,670","15,880","15,670",214.35K,-0.25%
09/17/2024,"15,750","15,630","15,800","15,460",389.96K,0.06%
09/18/2024,"15,560","15,750","15,800","15,460",172.26K,-1.21%
