"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2024","69.32","72.71","74.18","68.64","9.30M","-4.77%"
"10/14/2024","72.79","71.00","72.97","70.04","4.94M","3.50%"
"10/11/2024","70.33","69.18","71.64","69.00","5.14M","0.03%"
"10/10/2024","70.31","69.88","70.39","69.16","4.04M","-0.97%"
"10/09/2024","71.00","70.35","71.19","69.81","3.87M","0.67%"
"10/08/2024","70.53","70.84","71.14","69.46","3.78M","-0.79%"
"10/07/2024","71.09","70.62","71.25","70.04","3.79M","-0.63%"
"10/04/2024","71.54","72.27","72.68","70.93","4.77M","1.72%"
"10/03/2024","70.33","70.61","71.46","69.50","3.65M","-1.65%"
"10/02/2024","71.51","71.09","72.56","70.39","4.33M","0.65%"
"10/01/2024","71.05","72.47","73.11","70.30","5.97M","-2.15%"
"09/30/2024","72.61","72.31","73.54","71.22","6.82M","-2.39%"
"09/27/2024","74.39","74.60","75.88","73.79","5.29M","1.46%"
"09/26/2024","73.32","72.36","73.91","70.09","5.75M","5.27%"
"09/25/2024","69.65","69.82","70.53","69.10","3.33M","-1.16%"
"09/24/2024","70.47","70.90","72.32","69.90","4.66M","1.05%"
"09/23/2024","69.74","69.98","70.78","69.50","5.11M","0.24%"
"09/20/2024","69.57","71.04","71.44","68.39","12.07M","-5.15%"
"09/19/2024","73.35","73.82","74.99","72.62","8.08M","3.84%"
"09/18/2024","70.64","71.29","73.36","70.15","4.12M","-1.09%"
"09/17/2024","71.42","71.47","72.30","70.52","2.71M","1.49%"
"09/16/2024","70.37","70.80","71.46","69.15","4.39M","-1.88%"
"09/13/2024","71.72","70.04","72.17","70.02","5.50M","3.45%"
"09/12/2024","69.33","70.07","70.10","68.20","4.17M","-1.77%"
"09/11/2024","70.58","68.46","70.73","66.36","7.46M","3.44%"
"09/10/2024","68.23","68.32","68.35","66.96","4.38M","-1.67%"
"09/09/2024","69.39","68.80","70.24","68.59","6.39M","2.16%"
"09/06/2024","67.92","70.01","71.28","67.41","8.47M","-3.32%"
"09/05/2024","70.25","69.67","71.90","69.41","4.79M","-0.40%"
"09/04/2024","70.53","69.89","72.16","69.28","6.16M","-0.33%"
"09/03/2024","70.76","76.41","76.41","69.92","10.79M","-9.13%"
"08/30/2024","77.87","78.12","78.47","76.66","4.81M","2.06%"
"08/29/2024","76.30","75.93","78.61","75.48","4.85M","2.24%"
"08/28/2024","74.63","76.00","76.18","73.71","4.76M","-1.88%"
"08/27/2024","76.06","74.34","76.68","73.09","3.81M","1.66%"
